"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"257" 0.12 0.15 0.168 0.118 0.204 0.19 0.136 0.116 0.15 0.134
"258" 0.292 0.196 0.2 0.17 0.198 0.198 0.134 0.158 0.13 0.274
"259" 0.282 0.23 0.298 0.27 0.304 0.272 0.292 0.27 0.272 0.278
"260" 0.188 0.18 0.174 0.094 0.146 0.224 0.234 0.082 0.178 0.11
"261" 0.1 0.212 0.124 0.174 0.16 0.172 0.14 0.14 0.176 0.12
"262" 0.026 0.046 0.024 0.05 0.044 0.046 0.042 0.03 0.048 0.046
"263" 0.072 0.218 0.272 0.296 0.266 0.252 0.328 0.236 0.26 0.432
"264" 0.914 0.954 0.972 0.962 0.97 0.974 0.986 0.948 0.974 0.976
"265" 0.258 0.234 0.174 0.236 0.276 0.312 0.294 0.292 0.266 0.278
"266" 0.108 0.128 0.146 0.122 0.124 0.126 0.168 0.08 0.116 0.158
"267" 0.124 0.142 0.196 0.216 0.208 0.068 0.21 0.148 0.158 0.218
"268" 0.488 0.514 0.63 0.674 0.608 0.534 0.526 0.656 0.606 0.684
"269" 0.06 0.066 0.064 0.074 0.08 0.076 0.128 0.094 0.056 0.078
"270" 0.072 0.094 0.184 0.084 0.106 0.082 0.116 0.12 0.124 0.094
"271" 0.324 0.286 0.35 0.32 0.334 0.326 0.286 0.32 0.312 0.256
"272" 0.072 0.092 0.088 0.064 0.114 0.108 0.1 0.11 0.08 0.11
"273" 0.506 0.382 0.294 0.572 0.506 0.418 0.426 0.348 0.6 0.514
"274" 0.254 0.272 0.196 0.218 0.224 0.156 0.204 0.098 0.146 0.214
"275" 0.048 0.042 0.046 0.054 0.054 0.066 0.052 0.05 0.04 0.08
"276" 0.748 0.5 0.666 0.734 0.61 0.536 0.636 0.65 0.452 0.616
"277" 0.264 0.31 0.272 0.274 0.28 0.254 0.28 0.218 0.222 0.266
"278" 0.548 0.472 0.486 0.336 0.49 0.502 0.5 0.484 0.418 0.55
"279" 0.254 0.34 0.13 0.174 0.258 0.2 0.284 0.246 0.252 0.286
